lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,49,,,,,,,,,,,,,,
,49,0.09475798159837723,0.000311637413688004,0.09475798159837723,49.0,0,,,,,,,,,
,89,,,,,0,0.11334935575723648,0.0004514962784014642,0.11334935575723648,0.22009947896003723,0.007870282977819443,0.22009947896003723,,,
,89,,,,,0,,,,,,,0.1446734517812729,0.0027382492553442717,0.1446734517812729
1e-06,99,,,,,,,,,,,,,,
,99,0.00865426380187273,4.388544039102271e-05,0.00865426380187273,99.0,1,,,,,,,,,
1e-06,149,,,,,,,,,,,,,,
,149,0.06976000219583511,0.0002336301695322618,0.06976000219583511,149.0,1,,,,,,,,,
,179,,,,,1,0.07663834095001221,0.00032699675648473203,0.07663834095001221,0.17440296709537506,0.0014439871301874518,0.17440296709537506,,,
,179,,,,,1,,,,,,,0.13686251640319824,0.0013857900630682707,0.13686251640319824
1e-06,199,,,,,,,,,,,,,,
,199,0.28774383664131165,0.0013499377528205514,0.28774383664131165,199.0,2,,,,,,,,,
1e-06,249,,,,,,,,,,,,,,
,249,0.017754774540662766,7.529834692832083e-05,0.017754774540662766,249.0,2,,,,,,,,,
,269,,,,,2,0.20649667084217072,0.0011860168306156993,0.20649667084217072,0.12862130999565125,0.0006292719044722617,0.12862130999565125,,,
,269,,,,,2,,,,,,,0.1298293173313141,0.0009436596883460879,0.1298293173313141
1e-06,299,,,,,,,,,,,,,,
,299,0.0465434193611145,0.00015772249025758356,0.0465434193611145,299.0,3,,,,,,,,,
1e-06,349,,,,,,,,,,,,,,
,349,0.24915285408496857,0.0012365026632323861,0.24915285408496857,349.0,3,,,,,,,,,
,359,,,,,3,0.09395900368690491,0.00041778688319027424,0.09395900368690491,0.13357622921466827,0.0005806591943837702,0.13357622921466827,,,
,359,,,,,3,,,,,,,0.13247819244861603,0.0013278652913868427,0.13247819244861603
1e-06,399,,,,,,,,,,,,,,
,399,0.21434944868087769,0.000809449004009366,0.21434944868087769,399.0,4,,,,,,,,,
1e-06,449,,,,,,,,,,,,,,
,449,0.08772316575050354,0.0002924703003372997,0.08772316575050354,449.0,4,,,,,,,,,
,449,,,,,4,0.14898370206356049,0.0007782654720358551,0.14898370206356049,0.14273697137832642,0.003973335027694702,0.14273697137832642,,,
,449,,,,,4,,,,,,,0.16240906715393066,0.008195336908102036,0.16240906715393066
1e-06,499,,,,,,,,,,,,,,
,499,0.5053641200065613,0.006842963397502899,0.5053641200065613,499.0,5,,,,,,,,,
,539,,,,,5,0.17599636316299438,0.0009080940508283675,0.17599636316299438,0.07588282972574234,0.00026742793852463365,0.07588282972574234,,,
