lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,49,,,,,,,,,,,,,,
,49,0.17057517170906067,0.0005609829095192254,0.17057517170906067,49.0,0,,,,,,,,,
,69,,,,,0,0.13789142668247223,0.0006665405817329884,0.13789142668247223,0.04647386819124222,0.00021428171021398157,0.04647386819124222,,,
,69,,,,,0,,,,,,,0.16865180432796478,0.003280733246356249,0.16865180432796478
1e-06,99,,,,,,,,,,,,,,
,99,0.01964782364666462,8.535076631233096e-05,0.01964782364666462,99.0,1,,,,,,,,,
,139,,,,,1,0.046361930668354034,0.0001704188616713509,0.046361930668354034,0.14679932594299316,0.0009191837161779404,0.14679932594299316,,,
,139,,,,,1,,,,,,,0.15416066348552704,0.0013505449751392007,0.15416066348552704
1e-06,149,,,,,,,,,,,,,,
,149,0.5745694637298584,0.016085848212242126,0.5745694637298584,149.0,2,,,,,,,,,
1e-06,199,,,,,,,,,,,,,,
,199,0.0824991762638092,0.00027229179977439344,0.0824991762638092,199.0,2,,,,,,,,,
,209,,,,,2,0.204630509018898,0.00270683690905571,0.204630509018898,0.052657581865787506,0.00020381361537147313,0.052657581865787506,,,
,209,,,,,2,,,,,,,0.174778550863266,0.0015071053057909012,0.174778550863266
1e-06,249,,,,,,,,,,,,,,
,249,0.11379095911979675,0.0003810952475760132,0.11379095911979675,249.0,3,,,,,,,,,
,279,,,,,3,0.1390717625617981,0.0006410403293557465,0.1390717625617981,0.06899039447307587,0.00024255295284092426,0.06899039447307587,,,
,279,,,,,3,,,,,,,0.14473511278629303,0.0009865460451692343,0.14473511278629303
1e-06,299,,,,,,,,,,,,,,
,299,0.01232745312154293,5.6105349358404055e-05,0.01232745312154293,299.0,4,,,,,,,,,
1e-06,349,,,,,,,,,,,,,,
,349,0.02459900453686714,0.00010099999781232327,0.02459900453686714,349.0,4,,,,,,,,,
,349,,,,,4,0.10763721913099289,0.00036765189724974334,0.10763721913099289,0.13820983469486237,0.0006556939333677292,0.13820983469486237,,,
,349,,,,,4,,,,,,,0.1517275869846344,0.001655270461924374,0.1517275869846344
1e-06,399,,,,,,,,,,,,,,
,399,0.7742879390716553,0.027128120884299278,0.7742879390716553,399.0,5,,,,,,,,,
,419,,,,,5,0.13296115398406982,0.0021340004168450832,0.13296115398406982,0.17618107795715332,0.0012580594047904015,0.17618107795715332,,,
,419,,,,,5,,,,,,,0.16773107647895813,0.008651918731629848,0.16773107647895813
1e-06,449,,,,,,,,,,,,,,
,449,0.014559011906385422,6.804943404858932e-05,0.014559011906385422,449.0,6,,,,,,,,,
,489,,,,,6,0.17101986706256866,0.0014511496992781758,0.17101986706256866,0.16979844868183136,0.0008901766268536448,0.16979844868183136,,,
,489,,,,,6,,,,,,,0.13925811648368835,0.002618253231048584,0.13925811648368835
1e-06,499,,,,,,,,,,,,,,
,499,0.22627364099025726,0.0010070818243548274,0.22627364099025726,499.0,7,,,,,,,,,
1e-06,549,,,,,,,,,,,,,,
,549,0.10563506186008453,0.0003508277877699584,0.10563506186008453,549.0,7,,,,,,,,,
,559,,,,,7,0.12434402853250504,0.00048372309538535774,0.12434402853250504,0.1828155219554901,0.001023169606924057,0.1828155219554901,,,
,559,,,,,7,,,,,,,0.12650102376937866,0.0008139803539961576,0.12650102376937866
1e-06,599,,,,,,,,,,,,,,
,599,0.3266827166080475,0.0028983864467591047,0.3266827166080475,599.0,8,,,,,,,,,
,629,,,,,8,0.04306793212890625,0.00016472372226417065,0.04306793212890625,0.15173408389091492,0.002475918037816882,0.15173408389091492,,,
,629,,,,,8,,,,,,,0.14426417648792267,0.0014722947962582111,0.14426417648792267
1e-06,649,,,,,,,,,,,,,,
,649,0.3306514024734497,0.0016004261560738087,0.3306514024734497,649.0,9,,,,,,,,,
1e-06,699,,,,,,,,,,,,,,
,699,0.005067823454737663,2.819700603140518e-05,0.005067823454737663,699.0,9,,,,,,,,,
,699,,,,,9,0.1452491134405136,0.0005423732800409198,0.1452491134405136,0.0670127347111702,0.0002551300567574799,0.0670127347111702,,,
,699,,,,,9,,,,,,,0.13055087625980377,0.0012149214744567871,0.13055087625980377
1e-06,749,,,,,,,,,,,,,,
,749,0.22272825241088867,0.000763390155043453,0.22272825241088867,749.0,10,,,,,,,,,
,769,,,,,10,0.06056342273950577,0.00020831203437410295,0.06056342273950577,0.10904700309038162,0.0005346199031919241,0.10904700309038162,,,
,769,,,,,10,,,,,,,0.12277494370937347,0.0007737927953712642,0.12277494370937347
1e-06,799,,,,,,,,,,,,,,
,799,0.2760591208934784,0.0011415428016334772,0.2760591208934784,799.0,11,,,,,,,,,
,839,,,,,11,0.23496849834918976,0.00834416039288044,0.23496849834918976,0.20357482135295868,0.0021211649291217327,0.20357482135295868,,,
,839,,,,,11,,,,,,,0.16977033019065857,0.0014008014695718884,0.16977033019065857
1e-06,849,,,,,,,,,,,,,,
,849,0.23112598061561584,0.0009713566396385431,0.23112598061561584,849.0,12,,,,,,,,,
1e-06,899,,,,,,,,,,,,,,
,899,0.002653630683198571,1.5869956769165583e-05,0.002653630683198571,899.0,12,,,,,,,,,
,909,,,,,12,0.16501668095588684,0.003927313257008791,0.16501668095588684,0.08922348916530609,0.0003334194771014154,0.08922348916530609,,,
,909,,,,,12,,,,,,,0.1335381716489792,0.0009271212038584054,0.1335381716489792
1e-06,949,,,,,,,,,,,,,,
,949,0.0046426672488451,2.5570576326572336e-05,0.0046426672488451,949.0,13,,,,,,,,,
,979,,,,,13,0.12012847512960434,0.0005134487291797996,0.12012847512960434,0.09482438862323761,0.0004066221008542925,0.09482438862323761,,,
,979,,,,,13,,,,,,,0.12191884219646454,0.006867006421089172,0.12191884219646454
1e-06,999,,,,,,,,,,,,,,
,999,0.026965077966451645,0.00010479755292180926,0.026965077966451645,999.0,14,,,,,,,,,
1e-06,1049,,,,,,,,,,,,,,
,1049,0.07125373184680939,0.00023421017976943403,0.07125373184680939,1049.0,14,,,,,,,,,
,1049,,,,,14,0.14886260032653809,0.000959150493144989,0.14886260032653809,0.2053857296705246,0.001561749610118568,0.2053857296705246,,,
,1049,,,,,14,,,,,,,0.1316482424736023,0.0010348741197958589,0.1316482424736023
1e-06,1099,,,,,,,,,,,,,,
,1099,0.054497938603162766,0.00018825542065314949,0.054497938603162766,1099.0,15,,,,,,,,,
,1119,,,,,15,0.09269746392965317,0.00036393682239577174,0.09269746392965317,0.07625261694192886,0.00026107492158189416,0.07625261694192886,,,
,1119,,,,,15,,,,,,,0.1235874742269516,0.0077366456389427185,0.1235874742269516
1e-06,1149,,,,,,,,,,,,,,
,1149,0.019658338278532028,8.763340156292543e-05,0.019658338278532028,1149.0,16,,,,,,,,,
,1189,,,,,16,0.21946300566196442,0.0017554947407916188,0.21946300566196442,0.08154542744159698,0.00027953507378697395,0.08154542744159698,,,
,1189,,,,,16,,,,,,,0.1375713050365448,0.001503356033936143,0.1375713050365448
1e-06,1199,,,,,,,,,,,,,,
,1199,0.01034332811832428,4.896434984402731e-05,0.01034332811832428,1199.0,17,,,,,,,,,
1e-06,1249,,,,,,,,,,,,,,
,1249,0.218257874250412,0.0007921232609078288,0.218257874250412,1249.0,17,,,,,,,,,
,1259,,,,,17,0.053510796278715134,0.00021767521684523672,0.053510796278715134,0.15644995868206024,0.0007211667252704501,0.15644995868206024,,,
,1259,,,,,17,,,,,,,0.10799375176429749,0.0012886017793789506,0.10799375176429749
1e-06,1299,,,,,,,,,,,,,,
,1299,0.029074322432279587,0.00010925154492724687,0.029074322432279587,1299.0,18,,,,,,,,,
,1329,,,,,18,0.15010251104831696,0.0007891584536992013,0.15010251104831696,0.15035109221935272,0.002572926227003336,0.15035109221935272,,,
,1329,,,,,18,,,,,,,0.10743698477745056,0.0007635218207724392,0.10743698477745056
1e-06,1349,,,,,,,,,,,,,,
,1349,0.002994097303599119,1.7222942915395834e-05,0.002994097303599119,1349.0,19,,,,,,,,,
1e-06,1399,,,,,,,,,,,,,,
,1399,0.009065190330147743,4.590289972838946e-05,0.009065190330147743,1399.0,19,,,,,,,,,
,1399,,,,,19,0.29718446731567383,0.012350994162261486,0.29718446731567383,0.08121464401483536,0.00048252721899189055,0.08121464401483536,,,
,1399,,,,,19,,,,,,,0.14002743363380432,0.0010224829893559217,0.14002743363380432
1e-06,1449,,,,,,,,,,,,,,
,1449,0.06649415194988251,0.00022043164062779397,0.06649415194988251,1449.0,20,,,,,,,,,
,1469,,,,,20,0.1268157809972763,0.0007319081923924387,0.1268157809972763,0.07127202302217484,0.0003272393369115889,0.07127202302217484,,,
,1469,,,,,20,,,,,,,0.14311867952346802,0.0015799356624484062,0.14311867952346802
1e-06,1499,,,,,,,,,,,,,,
,1499,0.04953458905220032,0.00016944819071795791,0.04953458905220032,1499.0,21,,,,,,,,,
,1539,,,,,21,0.07098805904388428,0.000463082455098629,0.07098805904388428,0.13520163297653198,0.000945660169236362,0.13520163297653198,,,
,1539,,,,,21,,,,,,,0.08811270445585251,0.0003943845222238451,0.08811270445585251
1e-06,1549,,,,,,,,,,,,,,
,1549,0.02348628081381321,9.002775914268568e-05,0.02348628081381321,1549.0,22,,,,,,,,,
1e-06,1599,,,,,,,,,,,,,,
,1599,0.10919072479009628,0.0003615215828176588,0.10919072479009628,1599.0,22,,,,,,,,,
,1609,,,,,22,0.07047317177057266,0.000258077634498477,0.07047317177057266,0.042628251016139984,0.00014935570652596653,0.042628251016139984,,,
,1609,,,,,22,,,,,,,0.1297350525856018,0.0013346996856853366,0.1297350525856018
1e-06,1649,,,,,,,,,,,,,,
,1649,0.23933947086334229,0.0010723063023760915,0.23933947086334229,1649.0,23,,,,,,,,,
,1679,,,,,23,0.06788931787014008,0.00028754290542565286,0.06788931787014008,0.04258520528674126,0.0001534683833597228,0.04258520528674126,,,
,1679,,,,,23,,,,,,,0.13451774418354034,0.0014995019882917404,0.13451774418354034
1e-06,1699,,,,,,,,,,,,,,
,1699,0.046566255390644073,0.00016756255354266614,0.046566255390644073,1699.0,24,,,,,,,,,
1e-06,1749,,,,,,,,,,,,,,
,1749,0.012500103563070297,5.8426008763490245e-05,0.012500103563070297,1749.0,24,,,,,,,,,
,1749,,,,,24,0.11259698867797852,0.0006252738530747592,0.11259698867797852,0.13604356348514557,0.000814771163277328,0.13604356348514557,,,
,1749,,,,,24,,,,,,,0.11313210427761078,0.0012702782405540347,0.11313210427761078
1e-06,1799,,,,,,,,,,,,,,
,1799,0.25419890880584717,0.0014926050789654255,0.25419890880584717,1799.0,25,,,,,,,,,
,1819,,,,,25,0.1656588762998581,0.002962003229185939,0.1656588762998581,0.15110085904598236,0.0021453802473843098,0.15110085904598236,,,
,1819,,,,,25,,,,,,,0.13129781186580658,0.0018219943158328533,0.13129781186580658
1e-06,1849,,,,,,,,,,,,,,
,1849,0.10851506888866425,0.0003594123700167984,0.10851506888866425,1849.0,26,,,,,,,,,
,1889,,,,,26,0.15774688124656677,0.0022527878172695637,0.15774688124656677,0.12766434252262115,0.0005734996520914137,0.12766434252262115,,,
,1889,,,,,26,,,,,,,0.12894511222839355,0.0011409646831452847,0.12894511222839355
1e-06,1899,,,,,,,,,,,,,,
,1899,0.3254301846027374,0.0025378677528351545,0.3254301846027374,1899.0,27,,,,,,,,,
1e-06,1949,,,,,,,,,,,,,,
,1949,0.07542122155427933,0.00024893900263123214,0.07542122155427933,1949.0,27,,,,,,,,,
