lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,49,,,,,,,,,,,,,,
,49,0.17013201117515564,0.000559525447897613,0.17013201117515564,49.0,0,,,,,,,,,
,69,,,,,0,0.13760806620121002,0.0006641039508394897,0.13760806620121002,0.04641670733690262,0.0002140441647497937,0.04641670733690262,,,
,69,,,,,0,,,,,,,0.16778644919395447,0.003272176720201969,0.16778644919395447
1e-06,99,,,,,,,,,,,,,,
,99,0.0201740600168705,8.763675577938557e-05,0.0201740600168705,99.0,1,,,,,,,,,
,139,,,,,1,0.046168792992830276,0.00016971536388155073,0.046168792992830276,0.14693094789981842,0.0009192547877319157,0.14693094789981842,,,
,139,,,,,1,,,,,,,0.15377448499202728,0.0013475194573402405,0.15377448499202728
1e-06,149,,,,,,,,,,,,,,
,149,0.5717929601669312,0.01600811630487442,0.5717929601669312,149.0,2,,,,,,,,,
1e-06,199,,,,,,,,,,,,,,
,199,0.0818164050579071,0.00027003829018212855,0.0818164050579071,199.0,2,,,,,,,,,
,209,,,,,2,0.20434968173503876,0.0027031677309423685,0.20434968173503876,0.052958957850933075,0.00020512178889475763,0.052958957850933075,,,
,209,,,,,2,,,,,,,0.1744513064622879,0.0015031101647764444,0.1744513064622879
1e-06,249,,,,,,,,,,,,,,
,249,0.11237207800149918,0.00037634331965819,0.11237207800149918,249.0,3,,,,,,,,,
,279,,,,,3,0.13902851939201355,0.0006406719912774861,0.13902851939201355,0.0688311755657196,0.00024209555704146624,0.0688311755657196,,,
,279,,,,,3,,,,,,,0.14492550492286682,0.000986854312941432,0.14492550492286682
1e-06,299,,,,,,,,,,,,,,
,299,0.012276019901037216,5.587126361206174e-05,0.012276019901037216,299.0,4,,,,,,,,,
1e-06,349,,,,,,,,,,,,,,
,349,0.025276396423578262,0.00010378126899013296,0.025276396423578262,349.0,4,,,,,,,,,
,349,,,,,4,0.10756248235702515,0.0003675504704006016,0.10756248235702515,0.13818226754665375,0.0006548129022121429,0.13818226754665375,,,
,349,,,,,4,,,,,,,0.15155363082885742,0.0016530322609469295,0.15155363082885742
1e-06,399,,,,,,,,,,,,,,
,399,0.7736742496490479,0.027106618508696556,0.7736742496490479,399.0,5,,,,,,,,,
,419,,,,,5,0.1326853185892105,0.0021284427493810654,0.1326853185892105,0.17643259465694427,0.0012580901384353638,0.17643259465694427,,,
,419,,,,,5,,,,,,,0.1678939312696457,0.008650938980281353,0.1678939312696457
1e-06,449,,,,,,,,,,,,,,
,449,0.014545363374054432,6.798563845222816e-05,0.014545363374054432,449.0,6,,,,,,,,,
,489,,,,,6,0.17131307721138,0.0014523289864882827,0.17131307721138,0.1694343537092209,0.0008881851099431515,0.1694343537092209,,,
,489,,,,,6,,,,,,,0.13925926387310028,0.002616752637550235,0.13925926387310028
1e-06,499,,,,,,,,,,,,,,
,499,0.23101939260959625,0.001028203871101141,0.23101939260959625,499.0,7,,,,,,,,,
1e-06,549,,,,,,,,,,,,,,
,549,0.11267013102769852,0.00037419216823764145,0.11267013102769852,549.0,7,,,,,,,,,
,559,,,,,7,0.12471465766429901,0.000484682823298499,0.12471465766429901,0.1834002584218979,0.0010279874550178647,0.1834002584218979,,,
,559,,,,,7,,,,,,,0.12684595584869385,0.0008148208144120872,0.12684595584869385
1e-06,599,,,,,,,,,,,,,,
,599,0.3256680965423584,0.002889384515583515,0.3256680965423584,599.0,8,,,,,,,,,
,629,,,,,8,0.04338105767965317,0.0001659633417148143,0.04338105767965317,0.15210755169391632,0.0024812964256852865,0.15210755169391632,,,
,629,,,,,8,,,,,,,0.1443232297897339,0.0014725207583978772,0.1443232297897339
1e-06,649,,,,,,,,,,,,,,
,649,0.3303118348121643,0.0015987824881449342,0.3303118348121643,649.0,9,,,,,,,,,
1e-06,699,,,,,,,,,,,,,,
